jobTitle,jobClassification,jobSubClassification,advertiserName,companyName,companyRating,listingDate,expiryDate,nation,state,city,area,suburb,workType,salary_string,isRightToWorkRequired,R,Python,Matlab,SQL,Stata,Minitab,SPSS,Ruby,C,Scala,Tableau,Java,Hadoop,SAS,Julia,Knime,D3,Clojure,Haskell,Lisp,Golang,Spark,Javascript,F.,Fortran,first_seen,last_seen,recruiter,jobType,salary,total_skills,experience
Data Administrator / Data Engineer,Information & Communication Technology,Database Development & Administration,Pinpoint Talent,,,08-02-2019 16:31,10-03-2019 23:59,Australia,New South Wales,sydney,North Shore & Northern Beaches,northsydney,Full Time,"80,000",f,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,1,Data Engineer,125257.69,1,4.75
Data Scientist - Sponsorship Available,Science & Technology,"Mathematics, Statistics & Information Sciences",Motion Recruitment,,,08-02-2019 16:39,10-03-2019 16:39,Australia,New South Wales,sydney,,,Full Time,,t,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,10-03-2019,1,Data Scientist,153942.16,7,4.75
Data Scientist ,Information & Communication Technology,Other,S2P,,,08-02-2019 17:10,10-03-2019 23:59,Australia,New South Wales,sydney,,sydney,Full Time,,f,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,10-03-2019,1,Data Scientist,134819.18,3,4.75
"Statistician Data Scientist, Analytics, Machine Learning - Data Scientist, Math",Information & Communication Technology,Consultants,Infinity Pro,,,08-02-2019 19:15,10-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,Great Remuneration & Location + Organic Growth Opp,f,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,08-03-2019,1,Data Scientist,134819.18,3,4.75
Scientist (GMP Stability),Science & Technology,Biological & Biomedical Sciences,CSL Limited,CSL Limited,,11-02-2019 11:39,13-03-2019 11:39,Australia,Victoria,melbourne,CBD & Inner Suburbs,parkville,Full Time,,f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Data Scientist,832344.92,1,5.01
Data Scientist ,Information & Communication Technology,Database Development & Administration,Robert Walters,,,11-02-2019 11:41,13-03-2019 23:59,Australia,New South Wales,sydney,,,Contract/Temp,super,t,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,13-03-2019,1,Data Scientist,139599.92,4,4.75
Data Analyst,Information & Communication Technology,Database Development & Administration,Progressive,,,11-02-2019 12:10,13-03-2019 23:59,Australia,New South Wales,sydney,,,Contract/Temp,competitive,f,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Data Analyst,134819.18,3,4.75
Data Integration Developer (ETL) - $700 p/d,Information & Communication Technology,Consultants,TRS - Public Sector,,,11-02-2019 12:31,13-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp,$700 p/d,f,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,1,Data Architect,139599.92,4,4.75
Data Analyst Wealth Management,Information & Communication Technology,Developers/Programmers,Progressive,,,11-02-2019 13:41,13-03-2019 23:59,Australia,New South Wales,sydney,,sydney,Contract/Temp,$650 - $825 p.a. + competitive,f,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Data Analyst,134819.18,3,4.75
APS6 / EL1 Data Scientist,Government & Defence,Government - Federal,First People Recruitment Solutions Pty Ltd,,,11-02-2019 15:30,13-03-2019 23:59,Australia,Australian Capital Territory,canberra,,,Contract/Temp,APS6/EL1 hourly rate contract,f,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,1,Data Scientist,78947.74,4,3.18
Intermediate Data Scientist,Information & Communication Technology,Other,Talentpool Recruitment,,,11-02-2019 17:31,13-03-2019 23:59,Australia,Victoria,melbourne,CBD & Inner Suburbs,melbourne,Full Time,,t,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,1,Data Scientist,564151.25,3,3
Data Scientist,Banking & Financial Services,Analysis & Reporting,Bluefin Resources Pty Limited,,,11-02-2019 17:44,13-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,$110k - $120k p.a. + super + bonus + benefits,t,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,13-03-2019,1,Data Scientist,139599.92,4,4.75
Data Scientist - Greenfield,Science & Technology,"Mathematics, Statistics & Information Sciences",Alloc8,,,12-02-2019 00:24,14-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,"1,90,000",f,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,14-03-2019,1,Data Scientist,143320.21,5,5
Data Integration Developer (ETL) - $700 p/d,Information & Communication Technology,Consultants,TRS - Public Sector,,,12-02-2019 10:15,14-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp,$700 p/d,f,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,1,Data Architect,139599.92,4,4.75
Data Scientist,Information & Communication Technology,Consultants,Oakton Contracting & Recruitment Pty Ltd,Oakton,,12-02-2019 10:40,14-03-2019 10:40,Australia,Australian Capital Territory,canberra,,canberra,Contract/Temp,,f,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,13-03-2019,1,Data Scientist,77144.85,3,3.18
Data Scientist,Information & Communication Technology,Developers/Programmers,Morgan McKinley,,,12-02-2019 10:54,14-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,$95k - $105k p.a.,f,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,14-03-2019,1,Data Scientist,134819.18,3,4.75
Dairy Product Development | Formulation | R&D | Food Technology,Science & Technology,Food Technology & Safety,Driftwood Group,,,12-02-2019 12:00,14-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,,f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,1,Data Architect,125257.69,1,4.75
Software Engineer,Science & Technology,Biological & Biomedical Sciences,Minomic International Ltd,,,12-02-2019 14:48,14-03-2019 14:48,Australia,New South Wales,sydney,Ryde & Macquarie Park,macquariepark,Full Time,"$60,000 - $74,999",f,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Data Engineer,137461.66,2,3
Data Scientist,Information & Communication Technology,Other,Xpand Group Pty Ltd,,,12-02-2019 16:45,14-03-2019 23:59,Australia,Victoria,melbourne,CBD & Inner Suburbs,melbourne,Full Time,,f,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,12-03-2019,1,Data Scientist,532743.47,4,5.01
Data Analyst Financial Services,Information & Communication Technology,Developers/Programmers,Progressive,,,12-02-2019 16:49,14-03-2019 23:59,Australia,New South Wales,sydney,,sydney,Contract/Temp,$750 - $900 p.a. + competitive,f,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Data Analyst,134819.18,3,4.75
Junior Data Scientist,Information & Communication Technology,Other,Xpand Group Pty Ltd,,,12-02-2019 17:00,14-03-2019 23:59,Australia,Victoria,melbourne,CBD & Inner Suburbs,melbourne,Full Time,"up to $90,000",f,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,12-03-2019,1,Data Scientist,632610.62,3,5.01
Data Scientist,Information & Communication Technology,Engineering - Software,FourQuarters Recruitment,,,12-02-2019 17:46,14-03-2019 23:59,Australia,Victoria,melbourne,,,Full Time,$125000,f,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,12-03-2019,1,Data Scientist,732477.77,2,5.01
Junior Data Scientist ,Information & Communication Technology,Other,Sirius Technology Sydney part of Sirius People Pty Ltd,,,13-02-2019 08:58,15-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,,t,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,15-03-2019,1,Data Scientist,145945.35,2,1
Data Scientist,Information & Communication Technology,Web Development & Production,PBI Search,,,13-02-2019 10:45,15-03-2019 23:59,Australia,Victoria,melbourne,CBD & Inner Suburbs,melbourne,Full Time,,f,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,12-03-2019,1,Data Scientist,732477.77,2,5.01
Data Scientist ,Information & Communication Technology,Database Development & Administration,Opus Recruitment Solutions,,,13-02-2019 12:24,15-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,$100000 - $110000 per annum,t,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,15-03-2019,1,Data Scientist,130038.44,2,4.75
Data Insights Analyst,Science & Technology,"Mathematics, Statistics & Information Sciences",Ensure Recruitment - Seek Award Winner - Best Small Specialist,,,13-02-2019 13:45,15-03-2019 23:59,Australia,Victoria,melbourne,CBD & Inner Suburbs,melbourne,Full Time,,f,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,1,Data Analyst,632610.62,3,5.01
"Research Scientist, Computer Vision",Science & Technology,"Mathematics, Statistics & Information Sciences",CSIRO,CSIRO,,13-02-2019 14:10,15-03-2019 23:59,Australia,Australian Capital Territory,canberra,,blackmountain,Full Time,$97k - $105k p.a. + up to 15.4% superannuation,t,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Data Scientist,83492.46,3,3
"Research Scientist, Computer Vision",Government & Defence,Government - Federal,CSIRO,CSIRO,,13-02-2019 14:10,15-03-2019 23:59,Australia,Australian Capital Territory,canberra,,blackmountain,Full Time,$97k - $105k p.a. + up to 15.4% superannuation,t,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Data Scientist,83492.46,3,3
"Senior Research Scientist, Computer Vision",Science & Technology,"Mathematics, Statistics & Information Sciences",CSIRO,CSIRO,,13-02-2019 14:18,15-03-2019 23:59,Australia,Australian Capital Territory,canberra,,blackmountain,Full Time,$111k - $130k p.a. + up to 15.4% superannuation,t,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Data Scientist,83492.46,3,3
